region,period,model,SSP,Report,scenario,unit,Emission reduction,Mitigation cost
Latin Am.,2040,GCAM,Yes,SR15,SSP5-19,None,101.8326981,NA
Latin Am.,2040,GCAM,Yes,SR15,SSP5-26,None,86.75912857,NA
Latin Am.,2040,GCAM,Yes,SR15,SSP5-34,None,92.13229159,NA
Latin Am.,2040,GRAPE,No,AR5,EMF27-550-FullTech,None,106.7756723,-0.002623494
Latin Am.,2040,IMAGE,Yes,AR5,AMPERE2-450-FullTech-OPT,None,99.96452527,-0.000919853
Latin Am.,2040,IMAGE,Yes,AR5,EMF27-450-FullTech,None,104.2664527,-0.000648006
Latin Am.,2040,IMAGE,Yes,AR5,EMF27-550-FullTech,None,106.8976586,-0.000296093
Latin Am.,2040,IMAGE,Yes,AR5,LIMITS-450,None,106.4490502,-0.001104936
Latin Am.,2040,IMAGE,Yes,AR5,LIMITS-500,None,106.2037896,-0.000304559
Latin Am.,2040,IMAGE,Yes,SR15,ADVANCE_2020_1.5C-2100,None,96.21263712,-0.009080554
Latin Am.,2040,IMAGE,Yes,SR15,ADVANCE_2020_WB2C,None,96.65232481,-0.006180086
Latin Am.,2040,IMAGE,Yes,SR15,CD-LINKS_NPi2020_1000,None,88.63133501,-0.004211185
Latin Am.,2040,IMAGE,Yes,SR15,CD-LINKS_NPi2020_1600,None,88.30653661,-0.001486125
Latin Am.,2040,IMAGE,Yes,SR15,EMF33_WB2C_full,None,126.3784939,0.001642628
Latin Am.,2040,IMAGE,Yes,SR15,SSP1-19,None,99.02631396,NA
Latin Am.,2040,IMAGE,Yes,SR15,SSP1-26,None,94.1829381,NA
Latin Am.,2040,IMAGE,Yes,SR15,SSP1-34,None,101.648079,NA
Latin Am.,2040,IMAGE,Yes,SR15,SSP2-26,None,83.64407196,NA
Latin Am.,2040,IMAGE,Yes,SR15,SSP2-34,None,96.94887169,NA
Latin Am.,2040,IMAGE,Yes,SR15,SSP5-34,None,109.7199717,NA
Latin Am.,2040,MESSAGE,Yes,AR5,AMPERE2-450-FullTech-OPT,None,111.7571299,0.00039364
Latin Am.,2040,MESSAGE,Yes,AR5,EMF27-450-FullTech,None,119.8143651,-0.001187058
Latin Am.,2040,MESSAGE,Yes,AR5,EMF27-550-FullTech,None,122.0390287,-0.000907835
Latin Am.,2040,MESSAGE,Yes,AR5,LIMITS-450,None,114.1674056,0.000602616
Latin Am.,2040,MESSAGE,Yes,AR5,LIMITS-500,None,130.2137709,0.002091052
Latin Am.,2040,MESSAGE,Yes,SR15,ADVANCE_2020_1.5C-2100,None,105.3923006,0.003403197
Latin Am.,2040,MESSAGE,Yes,SR15,ADVANCE_2020_WB2C,None,96.80095761,0.002850259
Latin Am.,2040,MESSAGE,Yes,SR15,CD-LINKS_NPi2020_1000,None,108.6559885,-0.001155682
Latin Am.,2040,MESSAGE,Yes,SR15,CD-LINKS_NPi2020_1600,None,83.80273394,-0.001142862
Latin Am.,2040,MESSAGE,Yes,SR15,EMF33_WB2C_full,None,110.1265235,NA
Latin Am.,2040,MESSAGE,Yes,SR15,GEA_Eff_2C_Delay2020,None,136.2656802,NA
Latin Am.,2040,MESSAGE,Yes,SR15,GEA_Mix_2C_AdvTrans_PartialDelay2020,None,117.08821,NA
Latin Am.,2040,MESSAGE,Yes,SR15,SSP1-19,None,120.4117431,NA
Latin Am.,2040,MESSAGE,Yes,SR15,SSP1-26,None,160.1600131,NA
Latin Am.,2040,MESSAGE,Yes,SR15,SSP1-34,None,167.8963287,NA
Latin Am.,2040,MESSAGE,Yes,SR15,SSP2-19,None,105.7787462,NA
Latin Am.,2040,MESSAGE,Yes,SR15,SSP2-26,None,101.0672718,NA
Latin Am.,2040,MESSAGE,Yes,SR15,SSP2-34,None,105.7994638,NA
Latin Am.,2040,POLES,No,AR5,AMPERE2-450-FullTech-OPT,None,102.8420181,-0.002789552
Latin Am.,2040,POLES,No,AR5,EMF27-450-FullTech,None,103.2470334,-0.004153153
Latin Am.,2040,POLES,No,AR5,EMF27-550-FullTech,None,98.25823757,-0.003010377
Latin Am.,2040,POLES,No,SR15,ADVANCE_2020_1.5C-2100,None,90.45299898,-0.023824234
